Bedrooms,Bathrooms,Location,Price
4,4,"KILIMANI, Kilimani",14800000
0,1,"NGONG ROAD, Dagoretti Corner",1900000
0,1,"NGONG ROAD, Ngong Road",1900000
0,1,"KILIMANI, Kilimani",1900000
2,2,"LAVINGTON, Lavington",10800000
3,4,"LAVINGTON, Lavington",22500000
2,2,"LAVINGTON, Lavington",8500000
2,2,"LAVINGTON, Lavington",11000000
3,3,"0108J, Kileleshwa Estate Nairobi, Kileleshwa",14500000
2,2,"Lower Kabete, Westlands",6800000000
2,2,"WESTLANDS, Westlands Area, Westlands",10000000
1,1,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",5500000
2,2,"WESTLANDS, Westlands Area, Westlands",12000000
2,2,"WESTLANDS, Westlands Area, Westlands",11700000
2,1,Lavington,7000000
4,5,"KILELESHWA, Kileleshwa",23000000
2,2,"KILELESHWA, Kileleshwa",7800000
2,2,"KILELESHWA, Kileleshwa",9000000
4,4,"KILELESHWA, Kileleshwa",22000000
2,3,"KILIMANI, Kilimani",8600000
2,2,"KILIMANI, Kilimani",7500000
2,2,"KILIMANI, Kilimani",7000000
4,,"General Mathenge, Westlands",43000000
2,2,"Westlands Area, Westlands",13000000
2,3,"Mpaka Rd, Westlands Area, Westlands",12000000
2,2,"Muthangari Rd, Westlands Area, Westlands",16500000
3,5,"Westlands, Riverside",21000000
5,7,Kileleshwa,41000000
3,3,"Westlands, Westlands Area",21000000
4,4,"Westlands, Westlands Area",24000000
3,3,Kilimani,23000000
4,4,Lavington,29000000
4,4,Kilimani,26300000
1,,"Roysambu(Mirema Drive), Thika Road",5200000
2,3,South C,6900000
3,4,"5th Parklands, Parklands, Westlands",22000000
3,2,Kileleshwa,18750000
2,2,"Westlands, Westlands Area, Westlands",14500000
1,1,Lavington,6500000
2,1,Ngong Road,5000000
4,4,"Westlands Area, Westlands",33000000
4,4,"Westlands Area, Westlands",33000000
1,1,Ngong Road,1900000
3,4,"Riverside, Westlands",13000000
2,2,"Riverside, Westlands",13000000
3,4,"Riverside, Westlands",19000000
4,4,Kilimani,32000000
4,5,Kileleshwa,20000000
4,4,Kilimani,26000000
3,3,Kileleshwa,11000000
2,1,Kileleshwa,7000000
1,1,Kilimani,4000000
1,1,Kileleshwa,4000000
2,2,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",8000000
2,2,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",12500000
3,4,"RIVERSIDE, Riverside, Westlands",20500000
3,3,Lavington,11000000
1,1,Lavington,5000000
3,4,"KILELESHWA, Kileleshwa",15500000
3,4,"KILELESHWA, Kileleshwa",22200000
4,4,"KILELESHWA, Kileleshwa",22000000
3,4,"KILELESHWA, Kileleshwa",19500000
1,1,"KILIMANNI, KILIMANI, Kilimani",5500000
3,4,"KILIMANI, Kilimani",22500000
2,3,"KILIMANI, Kilimani",14000000
2,2,"KILIMANI, Kilimani",8000000
1,1,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",6500000
1,1,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",7800000
2,2,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",11900000
4,4,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",22200000
3,4,"RIVERSIDE, Riverside, Westlands",20500000
1,1,"0107J, Westlands Nairobi(UNDER CONSTRUCTION), Westlands Area, Westlands",6400000
2,2,"0107J, Westlands Nairobi(UNDER CONSTRUCTION), Westlands Area, Westlands",11200000
2,2,"0107J, Westlands(Under Construction), Westlands Area, Westlands",15200000
1,1,"0107J, Westlands(Under Construction), Westlands Area, Westlands",8120000
2,1,Lavington,7000000
2,2,Kilimani,12400000
4,5,Kileleshwa,29500000
4,4,Kileleshwa,22800000
1,1,"Westlands Area, Westlands",9600000
1,1,"Westlands Area, Westlands",8500000
2,2,"Westlands Area, Westlands",15000000
4,5,Kilimani,28300000
1,1,Kileleshwa,4200000
2,2,Kileleshwa,13500000
