Bedrooms,Bathrooms,Location,Price
4,5.0,Kileleshwa,24600000
4,3.0,Parklands,33000000
4,4.0,Parklands,28000000
3,2.0,Parklands,23000000
3,3.0,Westlands,24000000
4,5.0,Kilimani,26300000
4,4.0,Kilimani,17000000
1,1.0,Westlands,30000000
2,2.0,Westlands,36000000
3,3.0,Westlands,39000000
2,2.0,Westlands,19500000
3,2.0,Westlands,22500000
3,2.0,Roysambu,14000000
2,2.0,Roysambu,7800000
1,1.0,Roysambu,5300000
0,1.0,Roysambu,3200000
0,1.0,Roysambu,2700000
3,3.0,Westlands,13500000
3,3.0,Westlands,14500000
0,1.0,Westlands,6150000
1,1.0,Westlands,8200000
2,2.0,Westlands,14500000
3,2.0,Westlands,31000000
4,4.0,Kileleshwa,23000000
2,2.0,Riverside,24300000
3,3.0,Riverside,37900000
3,4.0,Kileleshwa,18000000
3,4.0,Kileleshwa,21500000
3,3.0,Kileleshwa,13500000
2,2.0,Westlands,11700000
3,4.0,Kileleshwa,19000000
1,1.0,Westlands,7700000
2,2.0,Kilimani,8700000
3,3.0,Riverside,25000000
3,3.0,Westlands,19500000
4,4.0,Westlands,32000000
1,1.0,Westlands,6500000
2,2.0,Westlands,11900000
4,4.0,Westlands,21200000
4,4.0,Westlands,14000000
1,1.0,Kilimani,5500000
2,2.0,Kilimani,7400000
0,1.0,Kilimani,5000000
3,3.0,Lavington,16500000
1,2.0,Westlands,8500000
4,5.0,Kileleshwa,21500000
2,2.0,Kileleshwa,9000000
5,5.0,Kilimani,32000000
1,2.0,Westlands,7500000
3,4.0,Westlands,29000000
2,2.0,Kitisuru,12000000
4,4.0,Kilimani,14800000
4,4.0,Kilimani,14600000
2,2.0,Kilimani,7000000
2,3.0,Kilimani,14000000
3,4.0,Kilimani,22500000
2,2.0,Kileleshwa,7700000
4,4.0,Westlands,16000000
1,1.0,Kileleshwa,5200000
1,1.0,Lavington,8000000
2,2.0,Kilimani,7000000
1,1.0,Westlands,6500000
0,1.0,Ngong Road,2000000
3,3.0,Lavington,20000000
4,4.0,Westlands,59900000
3,3.0,Parklands,38000000
3,3.0,Lavington,24000000
4,5.0,Westlands,51000000
2,2.0,Westlands,19500000
3,3.0,Westlands,24000000
2,2.0,Riverside,24000000
1,1.0,Kilimani,3700000
2,2.0,Kilimani,13000000
4,4.0,Lavington,130000000
2,2.0,Westlands,15040000
3,3.0,Parklands,23000000
0,1.0,Roysambu,3400000
3,4.0,Kileleshwa,21000000
1,2.0,Westlands,7600000
1,1.0,Kilimani,6000000
3,4.0,Westlands,17700000
2,3.0,Westlands,12500000
3,4.0,Westlands,21000000
3,5.0,Kileleshwa,23000000
4,6.0,Spring Valley,28000000
2,2.0,Kilimani,9000000
1,1.0,Kilimani,6000000
2,2.0,Kilimani,9000000
1,1.0,Kilimani,7000000
3,3.0,Westlands,20000000
1,1.0,Westlands,11000000
2,2.0,Westlands,14500000
4,4.0,Lavington,20000000
2,2.0,Lavington,7500000
3,3.0,Kilimani,13000000
5,5.0,Kilimani,33500000
2,2.0,Kilimani,15000000
3,3.0,Kilimani,22500000
3,4.0,Riverside,38500000
2,3.0,Riverside,25000000
3,2.0,Westlands,20500000
3,3.0,Westlands,28500000
2,3.0,Westlands,22500000
1,2.0,Westlands,11400000
3,3.0,Lavington,16000000
2,3.0,Kilimani,13000000
2,3.0,Lavington,13000000
3,5.0,Kilimani,22500000
6,7.0,Lavington,33500000
5,7.0,Kilimani,33500000
5,6.0,Lavington,26300000
4,6.0,Kilimani,26300000
4,5.0,Lavington,22500000
2,2.0,Westlands,10000000
2,4.0,Riverside,25000000
3,5.0,Riverside,32000000
2,2.0,Lavington,8600000
1,1.0,Westlands,5800000
3,3.0,Westlands,12000000
1,1.0,Kilimani,5000000
3,3.0,Kileleshwa,24000000
1,2.0,Westlands,6500000
2,2.0,Westlands,12000000
2,2.0,Kilimani,14800000
2,1.0,Ngong Road,6600000
3,4.0,Kilimani,16500000
2,2.0,Kileleshwa,10500000
2,2.0,Westlands,11500000
3,3.0,Westlands,13500000
