Bedrooms,Bathrooms,Location,Price
3,3.0,Kilimani,33000000
3,1.0,Thika,17000000
2,2.0,Westlands,9000000
2,,Kilimani,12000000
1,1.0,Westlands,9000000
3,4.0,Kilimani,24000000
4,4.0,Kilimani,32000000
4,3.0,Kilimani,14600000
1,1.0,Kileleshwa,4000000
2,2.0,Westlands,18600000
4,4.0,Westlands,14500000
1,2.0,Westlands,9900000
1,1.0,Lavington,7880000
0,1.0,Parklands,6500000
4,4.0,Lavington,20000000
2,2.0,Riverside,32000000
2,2.0,Kileleshwa,9000000
3,4.0,Riverside,20500000
1,2.0,Lavington,7000000
2,2.0,Kileleshwa,10800000
1,1.0,Westlands,7700000
3,3.0,Kilimani,20000000
3,2.0,Parklands,23000000
0,1.0,Dagoretti,1900000
1,1.0,Westlands,9200000
3,3.0,Kilimani,11000000
3,3.0,Kilimani,11100000
3,4.0,Kileleshwa,20500000
4,4.0,Kilimani,17000000
2,2.0,Kilimani,7000000
1,2.0,Westlands,6500000
2,2.0,Westlands,10000000
3,4.0,Lavington,25000000
1,1.0,Kileleshwa,5200000
3,4.0,Kileleshwa,20000000
1,1.0,Westlands,7900000
1,2.0,Westlands,7600000
1,1.0,Riverside,12500000
3,4.0,Kileleshwa,19500000
2,2.0,Kilimani,8800000
3,1.0,Riara,9500000
3,3.0,Kilimani,11000000
1,1.0,Mombasa Road,4500000
3,3.0,Muthaiga,45000000
3,5.0,Kilimani,22500000
3,3.0,Kilimani,20000000
3,3.0,Westlands,13500000
1,1.0,Roysambu,5300000
1,1.0,Westlands,11000000
3,4.0,Kileleshwa,30000000
1,1.0,Westlands,7890000
2,2.0,Westlands,16500000
1,1.0,Dagoretti,3100000
4,4.0,Lavington,29000000
1,1.0,Lavington,7800000
3,3.0,Westlands,11800000
1,2.0,Mombasa Road,11600000
2,1.0,Lavington,7000000
3,2.0,Embakasi,7000000
2,2.0,Riverside,13500000
2,1.0,Lavington,7000000
2,2.0,Westlands,16000000
2,2.0,Kilimani,12750000
4,4.0,Lavington,130000000
1,1.0,Westlands,5000000
1,1.0,Kilimani,4800000
3,2.0,Kitisuru,15000000
2,2.0,Riverside,24000000
2,2.0,Kileleshwa,10500000
2,2.0,Westlands,21500000
2,2.0,Kilimani,12000000
0,1.0,Westlands,6150000
4,4.0,Spring Valley,35500000
