iter	RMSE
726	5588732.107
727	5588700.697
728	5588615.316
729	5588457.957
730	5588223.633
731	5588034.967
732	5587834.723
733	5587763.206
734	5587601.066
735	5587533.618
736	5587491.822
737	5587399.546
738	5587330.687
739	5587297.128
740	5586999.408
741	5586894.725
742	5586869.246
743	5586834.552
744	5586744.256
745	5586678.164
746	5586574.604
747	5586475.828
748	5586373.537
749	5586282.248
750	5586248.908
751	5586167.169
752	5586137.558
753	5586121.936
754	5586040.58
755	5586008.807
756	5585954.734
757	5585888.74
758	5585618.945
759	5585546.244
760	5585384.485
761	5585308.708
762	5585170.955
763	5585130.776
764	5585066.925
765	5585047.874
766	5584904.318
767	5584830.1
768	5584774.755
769	5584721.975
770	5584640.328
771	5584621.588
772	5584608.617
773	5584567.665
774	5584505.961
775	5584407.067
776	5584387.069
777	5584300.512
778	5584169.235
779	5584104.213
780	5584033.082
781	5583954.769
782	5583886.161
783	5583861.313
784	5583800.79
785	5583713.934
786	5583646.713
787	5583552.769
788	5583404.803
789	5583235.12
790	5582932.87
791	5582871.292
792	5582845.016
793	5582825.078
794	5582793.021
795	5582766.992
796	5582719.963
797	5582670.811
798	5582571.149
799	5582513.123
800	5582441.933
801	5582342.974
802	5582330.418
803	5582181.426
804	5582112.504
805	5581882.658
806	5581779.877
807	5581683.472
808	5581657.297
809	5581613.246
810	5581609.492
811	5581553.373
812	5581394.577
813	5581369.915
814	5581212.1
815	5581180.781
816	5581072.167
817	5581040.904
818	5580974.983
819	5580917.108
820	5580801.329
821	5580579.699
822	5580479.574
823	5580417.378
824	5580374.24
825	5580352.712
826	5580198.238
827	5580172.124
828	5580059.413
829	5580009.137
830	5580004.769
831	5579961.131
832	5579902.272
833	5579746.578
834	5579529.357
835	5579326.949
836	5579289.338
837	5579267.509
838	5579199.362
839	5579120.848
840	5579048.098
841	5579027.031
842	5579002.559
843	5578967.816
844	5578849.368
845	5578820.391
846	5578807.441
847	5578739.27
848	5578725.297
849	5578701.075
850	5578683.77
851	5578674.616
852	5578589.738
853	5578532.835
854	5578487.943
855	5578345.992
856	5578225.377
857	5578149.256
858	5578045.186
859	5578041.197
860	5577944.146
861	5577921.514
862	5577906.327
863	5577893.386
864	5577778.597
865	5577733.355
866	5577707.679
867	5577686.865
868	5577676.877
869	5577631.434
870	5577617.263
871	5577595.778
872	5577581.643
873	5577564.686
874	5577551.56
875	5577543.397
876	5577524.846
877	5577469.68
878	5577272.642
879	5577234.93
880	5577118.26
881	5577068.72
882	5577061.026
883	5577046.23
884	5576940.441
885	5576900.85
886	5576887.518
887	5576829.214
888	5576778.094
889	5576728.214
890	5576710.307
891	5576660.947
892	5576645.542
893	5576628.622
894	5576621.61
895	5576586.31
896	5576581.414
897	5576579.907
898	5576475.951
899	5576427.251
900	5576389.621
901	5576328.096
902	5576325.43
903	5576247.451
904	5576227.896
905	5576175.754
906	5576150.132
907	5576003.306
908	5575963.575
909	5575889.206
910	5575871.658
911	5575824.865
912	5575778.545
913	5575738.005
914	5575684.471
915	5575651.993
916	5575582.575
917	5575479.832
918	5575301.904
919	5575271.677
920	5575177.95
921	5575170.144
922	5575126.154
923	5575039.293
924	5575004.571
925	5575000.157
926	5574997.69
927	5574995.749
928	5574939.368
929	5574878.048
930	5574856.74
931	5574758.468
932	5574678.998
933	5574649.378
934	5574629.415
935	5574467.036
936	5574366.467
937	5574347.885
938	5574331.826
939	5574248.218
940	5574230.696
941	5574200.95
942	5574138.283
943	5574101.797
944	5574066.056
945	5574045.869
946	5574000.126
947	5573990.515
948	5573965.565
949	5573946.534
950	5573860.886
951	5573841.451
952	5573839.618
953	5573815.367
954	5573785.164
955	5573721.73
956	5573717.821
957	5573676.857
958	5573641.519
959	5573631.313
960	5573583.077
961	5573567.549
962	5573479.265
963	5573462.954
